Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
BGD,Bangladesh,2018,4.407,6.389999866,51.419,898000000000.0,5.78181,65.346,0.820955198,22.03563712
BGD,Bangladesh,2019,4.441,6.550000191,50.876,997000000000.0,5.49313,65.296,0.846411252,22.07619397
BGD,Bangladesh,2020,5.436,7.099999905,51.023,1100000000000.0,5.61729,64.715,0.836310836,22.235203
BGD,Bangladesh,2021,5.327,6.789999962,51.344,1250000000000.0,5.55766,65.175,0.814977994,22.42465322
BGD,Bangladesh,2022,4.593,6.789999962,51.49,1430000000000.0,6.14964,65.313,1.024233847,22.32359428
BGD,Bangladesh,2023,4.454,6.789999962,406.559,1570000000000.0,9.02297,65.366,1.221714755,22.78253388
BGD,Bangladesh,2024,4.68,6.789999962,378.896,1670000000000.0,9.69746,65.453,1.214621154,22.78253388
BHR,Bahrain,2015,1.16,9.104999701,1493.311,65822385264.0,1.861993428,77.005,4.154221842,42.04484432
BHR,Bahrain,2016,1.192,9.319999695,1493.311,67525760773.0,2.795698925,77.567,3.823163003,41.988794
BHR,Bahrain,2017,1.194,9.590000153,1493.311,75332756768.0,1.359832636,77.832,5.293145273,41.87161149
BHR,Bahrain,2018,1.2,10.5,1493.311,78150406940.0,2.063983488,77.514,0.131482304,41.69818349
BHR,Bahrain,2019,1.223,10.75,1513.017,83979879528.0,1.011122346,76.873,-1.294694377,41.55339487
BHR,Bahrain,2020,1.781,11.0,1512.908,78668739613.0,-2.302302302,75.128,-0.781611308,41.34152262
BHR,Bahrain,2021,1.541,11.07499981,1437.489,82671890844.0,-0.614754098,75.042,2.161028459,41.58942134
BHR,Bahrain,2022,1.326,11.14999962,1498.207,94039487080.0,3.608247423,75.957,1.342219606,41.3947729
BHR,Bahrain,2023,1.154,11.13000011,1558.715,101000000000.0,0.099502488,76.034,3.376864177,41.11504982
BHR,Bahrain,2024,1.102,11.13000011,1590.067,107000000000.0,0.89463,75.825,0.733546811,41.11504982
BTN,Bhutan,2015,2.45,3.323999977,286.921,7564534468.0,3.298013663551724,76.632,1.014965724,9.919789664
BTN,Bhutan,2016,2.705,3.69199996,286.921,8430904601.0,3.345815487827586,76.281,0.973884474,11.28067875
BTN,Bhutan,2017,3.016,4.059999943,277.225,8808682290.0,4.207002425137931,75.901,0.861274888,12.93684945
BTN,Bhutan,2018,3.35,4.580629311,275.574,9093982076.0,4.528310806206897,75.512,0.716471131,15.07609316
BTN,Bhutan,2019,2.72,5.170262283,273.418,9873190251.0,4.624918080103448,79.887,0.664446427,17.84146102
BTN,Bhutan,2020,5.03,5.835794662,269.528,9605861813.0,7.93913779851724,81.164,0.675256503,15.93146389
BTN,Bhutan,2021,4.803,5.835794662,175.552,10436528612.0,11.345335315793102,82.341,0.703488234,18.31338051
BTN,Bhutan,2022,5.947,5.835794662,179.48,11763540572.0,16.37175425637931,73.46,0.703183918,18.21484126
BTN,Bhutan,2023,3.126,5.835794662,179.286,12781872655.0,15.862202858068965,75.093,0.698146585,18.27563717
BTN,Bhutan,2024,2.856,5.835794662,179.614,12781872655.0,7.048335517241378,74.745,0.651370665,18.27563717
CHN,China,2015,4.65,7.532825112,390.246,18600000000000.0,1.401021922,72.399,0.581456147,30.7168295
CHN,China,2016,4.56,7.627390146,389.711,19600000000000.0,1.999349805,71.869,0.573050906,31.26764885
CHN,China,2017,4.47,7.72195518,417.545,21000000000000.0,1.593625498,71.267,0.605245013,31.84080891
CHN,China,2018,4.31,7.816520214,420.397,22900000000000.0,2.101960784,70.673,0.467672053,32.46185914
CHN,China,2019,4.56,7.883260012,440.049,24800000000000.0,2.903671839,70.208,0.35474089,33.03737788
CHN,China,2020,5.0,7.949999809,442.902,25800000000000.0,2.493281577,68.972,0.23804087,33.78789329
CHN,China,2021,4.55,8.036181597,461.022,29400000000000.0,0.903131828,70.081,0.0892522,34.34442626
CHN,China,2022,4.98,8.036181597,509.394,32500000000000.0,2.006640681,68.591,-0.013099501,34.53375776
CHN,China,2023,4.67,8.036181597,529.12,35500000000000.0,0.198131899,68.694,-0.103794532,34.79825973
CHN,China,2024,4.571,8.036181597,543.541,38200000000000.0,0.2,68.27,-0.123063407,34.79825973
CYP,Cyprus,2015,15.026,11.86999989,1211.961,27066559063.0,3.298013663551724,69.339,1.462131369,24.65941811
