Country Code,Country Name,Year,Unemployment Rate,Mean Years of Schooling,Minimum Wage (PPP),GDP (PPP),Inflation Rate - CPI (%),FDI (USD),Labor force participation rate (%),Population growth (%),"Employment rate, male (%)"
JOR,Jordan,2020,19.213,10.44999981,646.974,1.04E+11,0.333294351,,45.728,1.795432282,19.71304221
JOR,Jordan,2021,19.837,10.3799998,755.57,1.02E+11,1.346093772,,44.201,1.834191627,20.48216498
JOR,Jordan,2022,18.2,10.30999978,782.926,1.12E+11,4.229155689,,43.878,1.701517028,20.40441788
JOR,Jordan,2023,17.969,10.23999977,798.506,1.19E+11,2.078994339,,43.852,1.612250502,20.45760982
JOR,Jordan,2024,17.996,,809.458,1.25E+11,1.56248,,43.823,0.988722042,
JPN,Japan,2015,3.385,12.5999999,1269.424,5.20E+12,,10.614898,61.502,-0.106124994,33.17954257
JPN,Japan,2016,3.132,12.61399994,1241.23,5.16E+12,,-3.049962,61.825,-0.051137415,32.9129191
JPN,Japan,2017,2.822,12.62799997,1267.308,5.26E+12,,11.57683,62.367,-0.081874296,33.00687578
JPN,Japan,2018,2.467,12.64200001,1325.184,5.34E+12,,44.84905,63.154,-0.126880068,32.68259702
JPN,Japan,2019,2.351,12.65600004,1345.648,5.40E+12,,11.338159,63.576,-0.140464978,32.57270339
JPN,Japan,2020,2.809,12.67000008,1383.735,5.36E+12,,12.250901,63.565,-0.294194618,32.35756116
JPN,Japan,2021,2.828,12.68404671,1472.894,5.57E+12,,11.642405,63.717,-0.459952416,32.1664266
JPN,Japan,2022,2.6,12.68404671,1616.07,5.93E+12,,34.086764,64.154,-0.443851919,31.65637768
JPN,Japan,2023,2.6,12.68404671,1708.562,6.21E+12,,23.889284,64.456,-0.487370782,31.92072527
JPN,Japan,2024,2.563,,1805.801,6.41E+12,,,64.729,-0.435651699,
KAZ,Kazakhstan,2015,4.93,11.99777031,203.992,4.07E+11,6.646190061,71.48735,79.879,1.492398798,29.34792835
KAZ,Kazakhstan,2016,4.96,12.06851355,196.792,4.23E+11,14.57517974,68.119055,79.564,1.533352974,29.35497228
KAZ,Kazakhstan,2017,4.9,12.1392568,194.86,4.47E+11,7.616672251,28.042295,79.434,1.55792352,29.46177712
KAZ,Kazakhstan,2018,4.85,12.21000004,215.62,4.75E+11,5.3,14.770561,79.345,1.494233229,29.66829419
KAZ,Kazakhstan,2019,4.8,12.32137247,321.983,5.51E+11,5.4,18.430945,79.305,1.45157996,29.67383445
KAZ,Kazakhstan,2020,4.89,12.43376078,310.857,5.66E+11,7.5,4.181686,77.567,1.408915638,29.96898415
KAZ,Kazakhstan,2021,5.546,12.54717423,298.537,6.50E+11,8.513405017,2.198092,78.411,1.333257227,30.47258574
KAZ,Kazakhstan,2022,4.86,12.54717423,395.724,7.19E+11,20.25098742,20.966906,78.432,1.46316879,30.6156416
KAZ,Kazakhstan,2023,4.821,12.54717423,418.986,7.83E+11,9.768894147,-30.532654,78.158,1.464151517,30.80262806
KAZ,Kazakhstan,2024,4.794,,481.236,8.40E+11,8.63117,,77.649,1.282763646,
KGZ,Kyrgyz Republic,2015,3.338,11.45768642,47.767,25086544784,6.503290613,,72.129,2.246692574,30.096634
KGZ,Kyrgyz Republic,2016,3.474,11.55730089,54.347,28429771863,0.38884,0.10227,71.901,2.215364566,30.70101945
KGZ,Kyrgyz Republic,2017,3.57,11.65691535,62.036,31241590663,3.17531,-0.568458,70.463,2.104830825,30.22379385
KGZ,Kyrgyz Republic,2018,3.67,11.75652981,81.032,30789434120,1.5,2.014114,70.896,2.15497986,30.00766965
KGZ,Kyrgyz Republic,2019,4.295,11.8587579,82.945,34955978965,1.1,-2.142876,71.59,2.242364151,33.57425646
KGZ,Kyrgyz Republic,2020,4.63,11.96187492,86.113,34834094213,6.282,-14.733005,71.032,2.048385454,32.29167122
KGZ,Kyrgyz Republic,2021,4.096,12.06588858,76.246,39301901464,11.9,-0.969398,71.297,1.835810169,33.38660711
KGZ,Kyrgyz Republic,2022,4.043,12.06588858,91.115,45879594489,13.90484,193.224398,71.898,1.793654599,33.26805635
KGZ,Kyrgyz Republic,2023,3.991,12.06588858,85.655,51814586970,10.79901,,72.202,1.769570373,33.59695786
KGZ,Kyrgyz Republic,2024,3.289,,,57864889798,5.02051,,72.321,1.705407304,
KHM,Cambodia,2015,0.393,3.670000076,0.084,69267932041,1.2,247.824539,82.736,1.46023763,25.44760566
KHM,Cambodia,2016,0.716,3.952092528,0.091,75271078913,2.999999997,228.388328,85.127,1.458607676,26.98502979
KHM,Cambodia,2017,0.141,4.23418498,0.098,81171550322,2.9,217.975808,84.988,1.381765961,26.39630475
KHM,Cambodia,2018,0.13,4.516277432,0.108,91413678746,2.500000002,208.747563,85.545,1.243682774,26.07723522
KHM,Cambodia,2019,0.119,4.798369884,0.116,1.01E+11,1.900000002,186.235024,86.135,1.26258301,25.82600246
KHM,Cambodia,2020,0.172,4.997735023,0.12,99390356591,2.9,167.045576,85.893,1.470629886,26.88587062
KHM,Cambodia,2021,0.396,5.197100163,0.122,1.06E+11,2.8,128.288941,83.552,1.476778362,29.08133034
KHM,Cambodia,2022,0.231,5.197100163,0.126,1.19E+11,5.5,95.328993,84.331,1.330888131,29.12610656
KHM,Cambodia,2023,0.225,5.197100163,0.132,1.29E+11,2.1,95.815236,84.39,1.283206776,29.66270532
KHM,Cambodia,2024,0.27,,0.137,1.41E+11,2.2,,84.44,1.225939863,
KWT,Kuwait,2015,2.2,7.070000172,,1.74E+11,3.271624439,,79.742,4.4991022,31.93794959
KWT,Kuwait,2016,2.16,7.130000114,,1.68E+11,3.19850528,,80.098,4.325949068,31.61790882
KWT,Kuwait,2017,2.227,7.190000057,393.075,1.93E+11,2.171981347,,80.598,3.69493434,31.43588768
KWT,Kuwait,2018,2.204,7.21999979,402.951,2.22E+11,0.570262003,,80.764,3.980154823,31.16250032
KWT,Kuwait,2019,2.251,7.333540674,399.915,2.25E+11,1.100003559,,80.657,2.710713324,30.61951131
KWT,Kuwait,2020,3.557,7.448867088,387.659,1.82E+11,2.100071207,,75.754,-0.951064117,30.54283683
KWT,Kuwait,2021,3.002,7.566007112,390.896,2.21E+11,3.400051934,,77.335,-0.899478872,31.01004239
KWT,Kuwait,2022,2.174,7.566007112,406.017,2.53E+11,4,,81.868,5.113181109,30.73737337
KWT,Kuwait,2023,2.127,7.566007112,407.874,2.57E+11,3.6,,81.43,5.588136781,30.13489932
KWT,Kuwait,2024,2.144,,408.077,2.57E+11,2.9997,,81.256,0.899286655,
LAO,Lao PDR,2015,2.494,5.478619371,275.315,41395269251,1.277358307,466.057,64.238,1.458364749,11.07982319
LAO,Lao PDR,2016,2.881,5.572289603,280.354,46586124702,1.596928556,44.003895,64.249,1.563175613,11.28809165
LAO,Lao PDR,2017,3.268,5.665959835,282.422,50122949867,0.825502883,185.078253,64.238,1.570297226,11.54961113
LAO,Lao PDR,2018,2.9,5.759630067,344.059,53366707257,2.040148027,,65.478,1.55377802,10.78148329
LAO,Lao PDR,2019,2.537,5.853300299,341.134,56042601063,3.314740002,,66.704,1.525763046,10.08606217
LAO,Lao PDR,2020,2.361,5.94697053,338.462,58135955846,5.099999996,,67.228,1.493386752,9.534766467
LAO,Lao PDR,2021,2.066,6.06024616,337.397,60225053628,3.8,,68.589,1.441416409,9.209269739
LAO,Lao PDR,2022,1.209,6.06024616,323.307,66265586058,22.70479,,70.396,1.409716701,8.521675797
LAO,Lao PDR,2023,1.188,6.06024616,342.01,71221494500,31.22993,,70.349,1.392376672,8.847097992
LAO,Lao PDR,2024,1.218,,285.954,76049830545,23.3,,70.368,1.35832703,
LBN,Lebanon,2015,9.306,9.734545361,857.102,1.10E+11,-3.724521532,,50.179,1.957695836,27.76783606
LBN,Lebanon,2016,9.786,9.946363536,895.109,1.20E+11,-0.869565217,,50.508,-2.335437494,27.76976778
LBN,Lebanon,2017,10.251,10.15818171,896.686,1.29E+11,4.473684211,,50.891,-2.610571165,27.60038202
LBN,Lebanon,2018,10.745,10.36999989,930.454,1.32E+11,6.076994123,,51.324,-2.898842971,27.26286277
LBN,Lebanon,2019,11.301,10.36999989,902.011,1.26E+11,2.9,,51.8,-3.21837129,26.56788274
LBN,Lebanon,2020,13.284,10.36999989,491.065,92719310021,84.3,,48.272,-1.603862582,26.67613416
LBN,Lebanon,2021,12.669,10.36999989,140.853,66328931530,150,,48.877,0.275364168,26.95882938
LBN,Lebanon,2022,11.6,10.36999989,216.058,70616088355,171.2,,48.854,0.460053063,26.68077038
LBN,Lebanon,2023,11.543,10.36999989,242.321,72600709792,221.3417212,,48.844,0.503630954,26.44602026
LBN,Lebanon,2024,,,343.519,,45.24,,,0.560805065,
LKA,Sri Lanka,2015,4.519,10.5014286,,2.56E+11,0.900000001,,58.903,0.919811027,25.94127068
LKA,Sri Lanka,2016,4.242,10.5,257.201,2.77E+11,3.987899998,,59.145,1.133277498,26.81414661
LKA,Sri Lanka,2017,4.046,10.56999969,243.007,2.92E+11,6.580619999,,59.36,1.143887584,29.0318487
LKA,Sri Lanka,2018,4.318,10.64000034,240.07,3.07E+11,4.270210001,,57.19,1.006431981,28.82166851
LKA,Sri Lanka,2019,4.67,10.63000011,231.577,3.08E+11,4.300000002,,57.651,0.611875946,28.04285613
LKA,Sri Lanka,2020,5.364,10.81999969,203.928,2.84E+11,4.600000003,,55.814,0.53062656,27.7575572
LKA,Sri Lanka,2021,4.981,10.72999954,214.423,3.17E+11,5.95912,,55.631,1.075449957,27.47323249
LKA,Sri Lanka,2022,4.528,10.77000046,154.676,3.15E+11,46.4,,55.725,0.11277264,27.35001472
LKA,Sri Lanka,2023,5.997,10.77000046,138.185,3.19E+11,17.40106,,55.743,-0.65132077,27.28087016
LKA,Sri Lanka,2024,4.996,,200.024,3.43E+11,1.2424,,55.661,-0.550589519,
MMR,Myanmar,2015,0.766,4.734193908,264.441,2.28E+11,,15.43,66.267,0.800670953,18.24498554
MMR,Myanmar,2016,1.058,4.849349976,246.392,2.30E+11,,99.103093,65.78,0.792792539,17.10131046
MMR,Myanmar,2017,1.356,5.359566689,230.728,2.44E+11,,164.883216,65.264,0.772302033,16.04463641
MMR,Myanmar,2018,0.767,5.869783401,299.636,2.92E+11,,,66.235,0.724432843,17.20079249
MMR,Myanmar,2019,0.407,6.380000114,292.058,3.21E+11,,,64.697,0.702425163,16.6008587
MMR,Myanmar,2020,1.476,6.380000114,286.561,3.04E+11,,,64.537,0.711376906,18.87376881
MMR,Myanmar,2021,4.34,6.380000114,249.751,2.76E+11,,,57.373,0.696558039,19.0375243
MMR,Myanmar,2022,3.057,6.380000114,,3.08E+11,,,57.379,0.690074759,18.98285451
MMR,Myanmar,2023,3.032,6.380000114,,3.22E+11,,,57.245,0.698879396,18.95142039
MMR,Myanmar,2024,3.032,,,3.27E+11,,,57.108,0.674364863,
MNG,Mongolia,2015,4.861,10.58003116,233.781,31655860017,6.599999981,4.2,69.347,2.128669517,26.54627925
MNG,Mongolia,2016,7.235,10.6880374,230.17,32468148776,0.699999989,5.589931,67.598,2.027369576,24.4665429
MNG,Mongolia,2017,6.359,10.79604363,267.826,34940501307,4.3,6.076513,68.359,1.925778838,25.34924538
MNG,Mongolia,2018,5.377,10.90404987,259.073,39516811632,6.799999991,3.463086,68.121,1.864801928,26.41791395
MNG,Mongolia,2019,9.269,10.16202497,334.293,44456622358,7.300000021,3.192841,72.016,1.837150731,26.72032788
MNG,Mongolia,2020,6.594,9.420000076,450.343,45560002626,3.700000014,1.422668,69.172,1.805420087,26.30585123
MNG,Mongolia,2021,7.747,9.420000076,438.487,50053145882,7.299999959,3.148124,68.098,1.684959051,28.25807568
MNG,Mongolia,2022,6.211,9.420000076,538.578,56320298556,15.2,0.941846,69.458,1.46704738,29.87074118
