Country Code,Country Name,Year,Mean Years of Schooling,Minimum Wage,Unemployment Rate,,,
LAO,Lao PDR,2021,6.06024616,337.397,2.066,,,
LAO,Lao PDR,2022,6.06024616,323.307,1.209,,,
LAO,Lao PDR,2023,6.06024616,342.01,1.188,,,
LAO,Lao PDR,2024,,285.954,1.218,,,
LBN,Lebanon,2015,9.734545361,857.102,9.306,,,
LBN,Lebanon,2016,9.946363536,895.109,9.786,,,
LBN,Lebanon,2017,10.15818171,896.686,10.251,,,
LBN,Lebanon,2018,10.36999989,930.454,10.745,,,
LBN,Lebanon,2019,10.36999989,902.011,11.301,,,
LBN,Lebanon,2020,10.36999989,491.065,13.284,,,
LBN,Lebanon,2021,10.36999989,140.853,12.669,,,
LBN,Lebanon,2022,10.36999989,216.058,11.6,,,
LBN,Lebanon,2023,10.36999989,242.321,11.543,,,
LBN,Lebanon,2024,,343.519,,,,
LKA,Sri Lanka,2015,10.5014286,,4.519,,,
LKA,Sri Lanka,2016,10.5,257.201,4.242,,,
LKA,Sri Lanka,2017,10.56999969,243.007,4.046,,,
LKA,Sri Lanka,2018,10.64000034,240.07,4.318,,,
LKA,Sri Lanka,2019,10.63000011,231.577,4.67,,,
LKA,Sri Lanka,2020,10.81999969,203.928,5.364,,,
LKA,Sri Lanka,2021,10.72999954,214.423,4.981,,,
LKA,Sri Lanka,2022,10.77000046,154.676,4.528,,,
LKA,Sri Lanka,2023,10.77000046,138.185,5.997,,,
LKA,Sri Lanka,2024,,200.024,4.996,,,
MMR,Myanmar,2015,4.734193908,264.441,0.766,,,
MMR,Myanmar,2016,4.849349976,246.392,1.058,,,
MMR,Myanmar,2017,5.359566689,230.728,1.356,,,
MMR,Myanmar,2018,5.869783401,299.636,0.767,,,
MMR,Myanmar,2019,6.380000114,292.058,0.407,,,
MMR,Myanmar,2020,6.380000114,286.561,1.476,,,
MMR,Myanmar,2021,6.380000114,249.751,4.34,,,
MMR,Myanmar,2022,6.380000114,,3.057,,,
MMR,Myanmar,2023,6.380000114,,3.032,,,
MMR,Myanmar,2024,,,3.032,,,
MNG,Mongolia,2015,10.58003116,233.781,4.861,,,
MNG,Mongolia,2016,10.6880374,230.17,7.235,,,
MNG,Mongolia,2017,10.79604363,267.826,6.359,,,
MNG,Mongolia,2018,10.90404987,259.073,5.377,,,
MNG,Mongolia,2019,10.16202497,334.293,9.269,,,
MNG,Mongolia,2020,9.420000076,450.343,6.594,,,
MNG,Mongolia,2021,9.420000076,438.487,7.747,,,
MNG,Mongolia,2022,9.420000076,538.578,6.211,,,
MNG,Mongolia,2023,9.420000076,508.165,5.503,,,
MNG,Mongolia,2024,,587.797,5.424,,,
MYS,Malaysia,2015,10.25833321,562.021,3.1,,,
MYS,Malaysia,2016,10.36999989,624.294,3.44,,,
MYS,Malaysia,2017,10.46333313,600.526,3.41,,,
MYS,Malaysia,2018,10.55666637,612.597,3.3,,,
MYS,Malaysia,2019,10.64999962,681.766,3.26,,,
MYS,Malaysia,2020,10.79666646,763.405,4.54,,,
MYS,Malaysia,2021,10.94333331,771.734,4.64,,,
MYS,Malaysia,2022,11.09000015,1007.816,3.93,,,
MYS,Malaysia,2023,11.09000015,1023.82,3.869,,,
MYS,Malaysia,2024,,1035.034,3.826,,,
NPL,Nepal,2015,3.691063976,268.277,10.644,,,
