CountryCode,CountryName,Year,Schooling,MinWage,Unemployment,MinWage_Growth,Unemployment_LastYear,Cluster
CHN,China,2020,7.949999809,442.902,5.0,0.648336889755452,4.56,1
CHN,China,2021,8.036181597,461.022,4.55,4.0911985044095545,5.0,1
CHN,China,2022,8.036181597,509.394,4.98,10.49234092950011,4.55,1
CHN,China,2023,8.036181597,529.12,4.67,3.8724445124991735,4.98,1
CHN,China,2024,7.848943918222222,543.541,4.571,2.7254687027517432,4.67,1
CYP,Cyprus,2015,11.86999989,1211.961,15.026,0.0,0.0,0
CYP,Cyprus,2016,12.09000015,1289.732,13.006,6.4169556611145095,15.026,0
CYP,Cyprus,2017,12.18499994,1291.211,11.155,0.1146749867414254,13.006,0
CYP,Cyprus,2018,12.27999973,1297.0,8.504,0.4483388075225525,11.155,0
CYP,Cyprus,2019,12.35999966,1338.123,7.155,3.1706245181187365,8.504,0
CYP,Cyprus,2020,12.43999958,1366.857,7.755,2.1473362314226696,7.155,0
CYP,Cyprus,2021,12.5573721,1356.047,7.513,-0.7908654672727278,7.755,0
CYP,Cyprus,2022,12.5573721,1381.602,6.806,1.8845217016814295,7.513,0
CYP,Cyprus,2023,12.5573721,1470.28,6.098,6.418490998131143,6.806,0
CYP,Cyprus,2024,12.321901694444444,1617.572,5.602,10.017955763528018,6.098,0
GEO,Georgia,2015,12.71500015,23.457,16.506,0.0,0.0,2
GEO,Georgia,2016,12.81000042,22.994,16.604,-1.973824444728656,16.506,2
GEO,Georgia,2017,12.86999989,21.329,13.939,-7.241019396364267,16.604,2
GEO,Georgia,2018,12.84499979,21.314,12.667,-0.0703267851282274,13.939,2
GEO,Georgia,2019,12.81999969,20.878,11.565,-2.0456038284695555,12.667,2
GEO,Georgia,2020,12.77999973,19.908,11.73,-4.646038892614235,11.565,2
GEO,Georgia,2021,12.73999977,18.631,11.791,-6.414506730962433,11.73,2
GEO,Georgia,2022,12.69999981,17.983,11.647,-3.4780741774461887,11.791,2
GEO,Georgia,2023,12.69999981,18.268,11.537,1.584830117333036,11.647,2
GEO,Georgia,2024,12.77555545111111,18.601,11.48,1.8228596452813493,11.537,2
IDN,Indonesia,2015,7.909999847,229.636,4.514,0.0,0.0,1
IDN,Indonesia,2016,7.980000019,249.161,4.301,8.502586702433423,4.514,1
IDN,Indonesia,2017,8.239589691,257.126,3.783,3.1967282199059976,4.301,1
IDN,Indonesia,2018,8.159999847,273.576,4.387,6.397641623173089,3.783,1
IDN,Indonesia,2019,8.360000134,291.354,3.59,6.498377050618465,4.387,2
IDN,Indonesia,2020,8.56000042,464.741,4.255,59.510766970764095,3.59,2
IDN,Indonesia,2021,8.6972232,467.594,3.827,0.6138903174025989,4.255,2
IDN,Indonesia,2022,8.6972232,518.788,3.462,10.948386848419789,3.827,2
IDN,Indonesia,2023,8.6972232,953.028,3.308,83.70278418159248,3.462,2
IDN,Indonesia,2024,8.366806617555556,992.634,3.3,4.155806545033314,3.308,0
IND,India,2015,5.690312004,220.692,7.631,0.0,0.0,1
IND,India,2016,5.787889957,214.053,7.601,-3.00826491218531,7.631,1
IND,India,2017,6.013944864,227.096,7.618,6.093350712206802,7.601,1
IND,India,2018,6.239999771,230.864,7.652,1.6592102018529564,7.618,1
IND,India,2019,6.281380177,236.992,6.51,2.654376602675157,7.652,1
IND,India,2020,6.489999771,234.036,7.859,-1.247299486902509,6.51,1
IND,India,2021,6.529999971,237.712,6.38,1.5706985250132366,7.859,1
IND,India,2022,6.570000172,240.616,4.822,1.221646361984252,6.38,1
IND,India,2023,6.880000114,237.125,4.172,-1.4508594607175018,4.822,1
IND,India,2024,6.275947422333333,232.599,4.202,-1.9086979441223064,4.172,1
IRN,"Iran, Islamic Rep.",2015,10.21500015,590.237,11.166,0.0,0.0,2
IRN,"Iran, Islamic Rep.",2016,10.31000042,733.211,12.618,24.223151039328283,11.166,2
IRN,"Iran, Islamic Rep.",2017,10.41517492,666.861,12.232,-9.049236849965425,12.618,2
IRN,"Iran, Islamic Rep.",2018,10.52142232,677.257,12.195,1.558945567367109,12.232,2
IRN,"Iran, Islamic Rep.",2019,10.62875357,632.614,10.74,-6.591736962482475,12.195,2
IRN,"Iran, Islamic Rep.",2020,10.73717974,568.291,9.687,-10.16781165133873,10.74,2
IRN,"Iran, Islamic Rep.",2021,10.84671198,552.986,9.282,-2.693162481897493,9.687,2
IRN,"Iran, Islamic Rep.",2022,10.84671198,416.229,9.085,-24.73064417544025,9.282,2
IRN,"Iran, Islamic Rep.",2023,10.84671198,599.067,9.041,43.9272611951594,9.085,2
IRN,"Iran, Islamic Rep.",2024,10.596407451111112,465.617,9.192,-22.276306322998927,9.041,2
IRQ,Iraq,2015,6.597359595,439.598,10.842,0.0,0.0,1
IRQ,Iraq,2016,6.627529739,436.416,10.82,-0.7238431476030427,10.842,1
IRQ,Iraq,2017,6.657699882,618.626,13.02,41.75144815955419,10.82,1
IRQ,Iraq,2018,6.687870026,646.207,13.49,4.458428840688877,13.02,1
IRQ,Iraq,2019,6.718455358,649.748,14.109,0.5479668279668948,13.49,1
IRQ,Iraq,2020,6.749180566,653.342,15.778,0.5531375240862557,14.109,1
IRQ,Iraq,2021,6.780046287,608.069,16.173,-6.929448895065682,15.778,1
IRQ,Iraq,2022,6.780046287,625.49,15.511,2.8649709161295838,16.173,1
IRQ,Iraq,2023,6.780046287,624.039,15.447,-0.2319781291467482,15.511,1
IRQ,Iraq,2024,6.708692669666666,732.524,15.524,17.384330146032532,15.447,1
ISR,Israel,2015,12.96000004,1021.206,5.176,0.0,0.0,0
ISR,Israel,2016,13.05404318,1123.485,4.723,10.015511072202866,5.176,0
ISR,Israel,2017,13.14876875,1246.366,4.14,10.937484701620416,4.723,0
ISR,Israel,2018,13.24418168,1267.278,3.917,1.6778378100814615,4.14,0
ISR,Israel,2019,13.34028697,1249.286,3.731,-1.4197358432798457,3.917,0
ISR,Israel,2020,13.43708963,1258.519,4.169,0.7390621523013952,3.731,0
ISR,Israel,2021,13.53459474,1309.277,4.812,4.033153253943733,4.169,0
ISR,Israel,2022,13.53459474,1430.742,3.695,9.277257600950753,4.812,0
ISR,Israel,2023,13.53459474,1485.111,3.596,3.800056194617918,3.695,0
ISR,Israel,2024,13.309794941111113,1582.856,3.15,6.581662919471998,3.596,0
JOR,Jordan,2015,10.37688528,512.398,13.075,0.0,0.0,2
JOR,Jordan,2016,10.5302624,521.587,15.275,1.7933325266687117,13.075,2
JOR,Jordan,2017,10.68363953,652.699,18.12,25.13712956802987,15.275,2
JOR,Jordan,2018,10.35000038,638.186,18.257,-2.223536423374317,18.12,2
JOR,Jordan,2019,10.4000001,643.51,16.801,0.8342395477180631,18.257,2
JOR,Jordan,2020,10.44999981,646.974,19.213,0.538297773150398,16.801,2
JOR,Jordan,2021,10.3799998,755.57,19.837,16.78521857138,19.213,2
